age,gender,marital_status,education_level,annual_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,credit_utilization,loan_to_income
53,Male,Married,Other,105756.61,Employed,0.173,732,12894.11,Business,10.44,60,4,157811.18,24109.73,0,0.15277580460395773,0.12192249732664465
35,Male,Single,Bachelor's,18704.3,Employed,0.038,721,25233.92,Debt consolidation,12.86,36,3,14390.74,4076.5,1,0.28327243769257177,1.349097266403982
41,Female,Married,Bachelor's,22954.37,Employed,0.233,789,23279.75,Debt consolidation,12.59,36,3,22059.72,17665.85,3,0.8008193213694461,1.0141750786451555
73,Male,Single,Bachelor's,45130.71,Employed,0.204,676,25440.81,Debt consolidation,10.39,36,3,56734.6,20684.17,1,0.3645777003803675,0.5637139322647484
64,Male,Single,Bachelor's,19015.28,Employed,0.211,657,6579.55,Debt consolidation,11.63,36,3,15111.15,2262.27,3,0.14970865883801035,0.34601383729295604
21,Female,Married,High School,36530.44,Retired,0.358,692,12943.81,Debt consolidation,12.78,36,6,30462.38,16767.19,1,0.5504228494293617,0.35432943046949333
75,Female,Single,Bachelor's,99047.95,Employed,0.193,698,12818.66,Other,12.42,36,4,109288.6,63691.43,1,0.5827820102005149,0.1294187310287593
38,Male,Married,Bachelor's,38492.78,Employed,0.075,696,16545.85,Medical,10.32,36,8,50505.53,33088.79,4,0.6551518219886021,0.429842947170872
34,Male,Married,Bachelor's,106665.3,Self-employed,0.171,758,9609.43,Debt consolidation,10.11,36,4,155829.48,70304.67,0,0.4511641186250509,0.0900895605224942
23,Female,Married,Master's,47177.25,Employed,0.106,608,19911.95,Business,10.15,36,9,60458.36,41521.08,1,0.6867715234088387,0.4220667800687832
64,Female,Single,Bachelor's,69586.28,Employed,0.18,784,10380.42,Home,12.27,36,7,59823.95,10788.97,1,0.18034532992221342,0.14917337153243426
50,Male,Single,Bachelor's,35141.28,Employed,0.157,655,27353.66,Business,11.67,36,3,42022.76,31830.86,2,0.7574671439953016,0.7783911115360624
31,Female,Married,Bachelor's,41409.56,Employed,0.051,743,24289.51,Education,13.29,36,8,31256.92,2792.06,1,0.08932613961964263,0.5865676911321926
60,Male,Married,High School,72229.96,Self-employed,0.034,572,5064.75,Debt consolidation,15.62,36,4,54900.0,7599.01,1,0.13841548269581058,0.07011979516533028
54,Female,Married,Bachelor's,17344.05,Self-employed,0.062,709,13245.38,Business,10.58,36,7,26000.77,18616.06,3,0.7159811036365462,0.7636843759098941
66,Female,Married,Bachelor's,24868.53,Employed,0.115,653,21721.61,Debt consolidation,15.08,36,4,21381.4,20203.47,0,0.9449086589278531,0.8734577395608024
30,Male,Married,Master's,56266.29,Self-employed,0.093,744,9894.49,Other,11.13,36,5,84032.0,34712.37,0,0.4130851342345773,0.17585111796068303
55,Female,Married,Master's,53431.07,Retired,0.206,566,8503.65,Other,19.28,36,4,79694.07,57536.41,1,0.7219660132805364,0.1591517819126587
21,Male,Single,Master's,71081.8,Employed,0.111,682,29040.11,Debt consolidation,13.33,36,2,44783.77,8454.86,0,0.18879294887411224,0.40854494399410257
43,Male,Single,High School,22814.17,Employed,0.159,643,19776.13,Other,15.21,60,7,22152.57,15921.37,3,0.7187143523302263,0.8668353922145755
59,Female,Widowed,PhD,71228.0,Employed,0.119,720,26579.89,Debt consolidation,8.58,36,7,66082.84,33983.14,3,0.5142505981885767,0.3731663110012916
36,Female,Married,PhD,20281.8,Employed,0.22,611,21490.32,Other,12.62,36,6,18744.95,9083.85,3,0.48460251961194883,1.0595864272401858
54,Male,Married,Bachelor's,36169.34,Self-employed,0.06,638,7780.78,Vacation,18.1,60,10,42468.7,26059.53,0,0.6136173228754354,0.21512087309306724
56,Female,Single,Bachelor's,16060.89,Employed,0.15,726,23083.28,Education,11.64,36,3,13092.46,1419.44,1,0.10841660008890615,1.4372354209511429
42,Male,Divorced,Bachelor's,42384.8,Employed,0.196,682,500.0,Education,14.09,36,5,36328.51,5016.52,4,0.1380876892556287,0.011796681829335043
49,Male,Single,Master's,74911.12,Employed,0.189,698,500.0,Debt consolidation,13.85,36,7,76834.78,4727.98,3,0.061534372845214104,0.006674576484772888
59,Female,Married,Master's,34944.33,Employed,0.167,649,8342.11,Car,12.99,36,4,47280.93,31243.28,2,0.6608008768017042,0.23872571029405915
59,Female,Divorced,Master's,58616.69,Employed,0.517,524,19670.73,Business,15.52,36,4,36158.96,6741.93,5,0.18645254177664403,0.3355824083550265
54,Female,Married,Master's,18838.5,Employed,0.124,577,18941.09,Car,14.99,36,4,16348.25,6780.37,2,0.41474592081721284,1.005445762666879
59,Male,Married,Master's,123977.2,Employed,0.247,698,7834.13,Debt consolidation,13.07,36,7,78144.18,66781.09,1,0.8545881471915119,0.06319008656430376
64,Female,Married,Master's,62426.88,Employed,0.053,749,14611.23,Business,9.19,36,2,78110.33,43325.02,1,0.5546644086640012,0.23405350387525373
60,Other,Married,Bachelor's,8634.22,Employed,0.221,575,14589.07,Car,11.51,36,1,13254.89,6241.27,3,0.4708654692720951,1.6896801332372815
43,Male,Single,Master's,22678.42,Employed,0.255,677,14349.05,Debt consolidation,13.83,36,5,32857.94,10116.81,1,0.30789544323229023,0.6327182405123462
58,Male,Single,Bachelor's,15500.35,Unemployed,0.3,708,500.0,Debt consolidation,12.42,60,7,25504.04,17148.46,4,0.6723821010318365,0.032257336124668155
41,Female,Single,Master's,52492.18,Employed,0.08,698,16057.03,Debt consolidation,9.66,36,8,70964.27,39628.92,2,0.5584348292457598,0.30589375407917907
24,Male,Single,Other,12365.36,Employed,0.269,599,500.0,Other,13.12,36,2,12426.41,8191.15,4,0.659172681409997,0.040435539280700275
41,Male,Single,Bachelor's,56839.79,Unemployed,0.244,707,22535.24,Medical,9.26,36,6,50323.73,37627.47,1,0.7477082879190393,0.3964694450841567
38,Female,Single,High School,34991.08,Retired,0.03,631,25432.26,Other,11.89,60,12,40342.66,17591.07,2,0.43604140133545977,0.7268212355834687
73,Female,Married,Bachelor's,90627.89,Employed,0.195,587,22973.44,Debt consolidation,14.06,36,1,68396.09,35937.11,2,0.5254263803676497,0.25349194381552964
58,Female,Married,Bachelor's,81821.59,Employed,0.415,712,22102.35,Education,10.74,60,10,126690.71,94570.25,0,0.7464655458951962,0.2701285809772213
27,Female,Married,High School,77694.63,Employed,0.232,612,25959.81,Medical,12.48,36,7,65312.35,12349.5,3,0.18908368784770416,0.33412618092138413
69,Female,Married,High School,60067.3,Employed,0.065,683,8620.7,Debt consolidation,16.85,36,4,84119.07,38332.31,2,0.45569108170121225,0.14351735470047763
54,Female,Divorced,Master's,112198.72,Employed,0.164,850,13338.92,Business,9.51,60,2,151148.74,26974.27,0,0.17846175892700133,0.11888656127271327
44,Male,Single,Master's,43118.52,Retired,0.03,658,9593.69,Debt consolidation,10.93,36,7,38444.61,29910.31,3,0.7780104935386261,0.22249580922536305
32,Female,Single,High School,17265.41,Unemployed,0.111,741,6882.93,Car,13.21,36,8,25977.95,1390.6,3,0.05353001295329308,0.3986543036047218
29,Female,Single,Master's,100288.79,Employed,0.081,698,500.0,Car,12.64,36,5,69038.78,36370.77,3,0.5268165225399406,0.004985602079753879
25,Female,Married,Bachelor's,43514.87,Self-employed,0.139,721,19559.91,Car,13.97,60,5,57499.6,52818.91,1,0.9185961293643783,0.4494994469706562
74,Female,Married,High School,49759.54,Employed,0.14,542,4563.94,Debt consolidation,18.51,60,1,35462.34,10187.86,4,0.28728673855137593,0.09171989933990546
43,Male,Single,High School,36997.37,Employed,0.277,659,10235.9,Debt consolidation,13.4,36,7,48248.18,22698.35,4,0.4704498698189237,0.276665611636719
47,Female,Single,Master's,18366.58,Employed,0.094,672,17436.91,Education,10.85,36,5,30657.71,13123.34,2,0.42806002144321936,0.9493825197723255
73,Female,Married,Master's,41178.6,Employed,0.421,562,25375.28,Debt consolidation,17.31,36,8,45684.63,22590.55,4,0.49448906557851074,0.6162249323677833
56,Female,Single,High School,31197.66,Employed,0.228,641,7367.61,Medical,13.08,36,2,28538.77,15133.5,1,0.5302786349937296,0.2361590580832024
23,Male,Married,Bachelor's,13235.42,Self-employed,0.053,759,17791.0,Medical,11.25,36,5,21670.84,3789.54,2,0.1748681638552082,1.3441961040903878
34,Female,Single,Bachelor's,85120.64,Employed,0.04,753,500.0,Debt consolidation,10.83,60,2,88807.58,76413.61,1,0.8604401786424086,0.005874015984842219
57,Male,Single,Bachelor's,25902.37,Employed,0.337,730,18320.08,Other,9.7,60,7,39567.03,2818.88,3,0.07124315370650768,0.7072742764465183
65,Male,Married,Bachelor's,43135.14,Employed,0.22,717,9055.69,Car,15.57,36,5,53679.4,6051.16,2,0.11272778756841544,0.20993765176141774
33,Female,Married,Master's,22615.87,Employed,0.248,850,26861.31,Business,9.64,36,8,31121.66,21185.58,0,0.6807342538926267,1.187719508469053
58,Female,Single,Bachelor's,31677.54,Employed,0.234,597,2361.99,Other,12.83,60,7,32370.04,11023.94,3,0.34055997459379106,0.07456355512454564
29,Male,Married,Bachelor's,24981.55,Employed,0.186,731,1631.99,Car,11.73,60,5,29233.68,7241.83,0,0.24772214787874808,0.0653278119252008
53,Male,Married,Master's,62019.45,Employed,0.076,677,15423.36,Debt consolidation,12.48,60,8,84467.89,32911.23,2,0.3896300712613989,0.24868585580813762
27,Male,Married,Bachelor's,52837.26,Employed,0.321,680,20746.09,Debt consolidation,12.68,36,13,91931.62,18586.42,7,0.2021765742842343,0.39264129139171866
50,Female,Single,Other,32569.27,Self-employed,0.17,780,14016.32,Debt consolidation,10.18,36,2,24273.36,7712.5,4,0.3177351631582937,0.43035413443408466
23,Female,Widowed,Bachelor's,32776.62,Employed,0.267,528,36420.52,Home,16.91,36,1,49411.72,8143.98,1,0.164818791978907,1.1111737573917015
72,Female,Single,Bachelor's,40896.24,Retired,0.121,566,500.0,Debt consolidation,11.99,36,1,54688.98,34987.39,1,0.6397521036230699,0.012226062836094467
24,Male,Single,Master's,32207.84,Unemployed,0.168,571,16299.33,Debt consolidation,16.53,36,3,21024.75,15105.91,3,0.7184822649496426,0.5060671563197036
62,Male,Married,Master's,26391.3,Employed,0.283,734,500.0,Debt consolidation,11.64,60,4,19822.24,15093.39,0,0.7614371534195933,0.018945637388078647
49,Female,Single,Bachelor's,45206.38,Self-employed,0.142,563,25103.25,Education,14.34,36,4,63207.98,56952.56,2,0.901034331424608,0.5553032558678664
55,Male,Single,Bachelor's,33900.08,Student,0.304,555,26003.9,Debt consolidation,11.19,60,4,30541.49,13524.21,1,0.44281434861233027,0.7670748859589712
72,Female,Married,PhD,45005.15,Retired,0.157,725,6111.04,Debt consolidation,9.04,36,7,41930.35,22639.46,2,0.5399301460636508,0.13578534901005773
65,Female,Married,Other,56990.88,Employed,0.124,716,11819.41,Business,11.63,60,2,82488.87,36813.1,1,0.4462796011146716,0.20739125277588275
42,Female,Single,High School,44503.25,Student,0.288,693,25509.2,Debt consolidation,16.37,60,3,44390.9,15501.6,1,0.3492067067799932,0.5731985866200783
30,Female,Married,High School,15252.51,Self-employed,0.226,642,16950.07,Education,12.52,60,4,24432.93,15497.11,4,0.6342714525028312,1.1112970914295417
54,Male,Single,Bachelor's,27260.07,Self-employed,0.074,738,16147.72,Car,11.79,36,6,25357.68,4300.01,2,0.16957426704651216,0.592357980005187
55,Female,Married,High School,60565.23,Self-employed,0.395,665,18931.3,Debt consolidation,13.47,60,6,64120.49,4536.85,2,0.07075507376815118,0.31257703471117004
50,Male,Married,Master's,52948.03,Employed,0.178,694,10783.55,Business,11.49,60,4,34989.11,18142.52,2,0.5185190477837247,0.20366291248229632
47,Female,Married,PhD,102517.31,Self-employed,0.031,648,21246.77,Debt consolidation,16.34,36,4,152707.1,53214.24,1,0.34847259885100296,0.2072505609052754
49,Female,Single,Bachelor's,57408.43,Employed,0.158,802,9168.23,Education,12.61,60,8,39114.03,12388.62,4,0.31673085079701585,0.15970180686007263
47,Female,Married,Master's,31400.54,Retired,0.191,728,9437.04,Home,8.02,36,4,21101.42,7953.89,1,0.37693624410110793,0.30053750667982143
27,Male,Divorced,High School,23116.7,Unemployed,0.098,637,24179.57,Debt consolidation,15.6,60,8,34343.93,29872.7,2,0.8698101818865809,1.0459784484809682
42,Male,Married,Bachelor's,31297.76,Self-employed,0.183,675,6277.03,Debt consolidation,9.58,60,4,36400.61,23872.04,2,0.6558142844309477,0.20055844252112612
23,Male,Married,Bachelor's,31779.12,Employed,0.122,588,18597.26,Debt consolidation,15.03,36,6,47914.63,19776.32,1,0.4127407432761142,0.5852037438418685
68,Female,Married,Bachelor's,38636.26,Employed,0.265,749,8816.45,Debt consolidation,9.66,36,8,45339.11,33950.27,1,0.7488075967966729,0.22819108267725707
36,Male,Married,Other,47115.11,Employed,0.225,735,15312.4,Education,14.45,36,9,38603.4,32225.5,6,0.8347839827579954,0.3249997718354048
61,Female,Married,High School,25276.23,Employed,0.207,720,13274.31,Education,12.18,36,4,33038.55,30726.89,2,0.9300314329775368,0.5251696950059404
34,Female,Married,Bachelor's,51674.11,Employed,0.277,615,20117.85,Business,10.73,36,3,38653.28,14245.32,2,0.36854103972547736,0.3893216544997098
72,Male,Married,Bachelor's,34305.52,Employed,0.074,590,25583.86,Home,14.32,60,2,38297.24,31473.29,2,0.8218161413198445,0.7457651130197124
37,Female,Single,Bachelor's,38724.4,Self-employed,0.029,624,3552.14,Car,11.85,60,3,43038.23,38114.27,4,0.8855910198909202,0.09172872917333773
50,Male,Married,High School,14843.42,Employed,0.347,746,25824.46,Debt consolidation,13.79,36,6,26445.33,10040.19,1,0.3796583366514995,1.7397917730549968
71,Female,Married,Master's,21692.53,Self-employed,0.187,737,30894.81,Medical,12.18,36,3,29833.69,8487.94,3,0.2845085539200817,1.4242142341165371
65,Female,Single,Bachelor's,91536.22,Employed,0.201,720,17034.76,Home,12.74,36,6,109390.29,30609.86,2,0.27982245956199586,0.1860985738760023
49,Female,Single,High School,39002.17,Self-employed,0.109,681,7184.54,Debt consolidation,15.94,36,8,62575.6,53263.77,0,0.8511907197054442,0.18420872479659467
60,Male,Single,Bachelor's,25558.69,Employed,0.074,669,8321.16,Home,12.99,60,3,34910.44,2132.39,2,0.06108172798738715,0.32557067674438717
68,Female,Divorced,High School,32411.51,Unemployed,0.331,678,32216.65,Debt consolidation,12.41,36,3,39058.02,7211.31,0,0.1846307109269748,0.993987938235522
52,Female,Divorced,Bachelor's,38673.38,Unemployed,0.444,682,10592.08,Business,12.98,36,4,58841.92,41806.02,2,0.7104802154654368,0.27388555124998126
32,Male,Single,High School,57287.42,Self-employed,0.252,680,5304.38,Home,13.04,36,3,51270.84,37265.64,3,0.7268388815162772,0.09259240510394778
31,Male,Married,Bachelor's,156666.37,Employed,0.051,650,4192.17,Debt consolidation,11.19,36,3,232523.81,201566.57,1,0.8668642148948101,0.026758582585401067
60,Female,Married,Bachelor's,14217.49,Unemployed,0.066,619,3896.97,Car,11.98,36,7,24881.63,16519.71,1,0.6639319851633514,0.27409690458723723
21,Male,Single,Bachelor's,35303.03,Employed,0.094,671,31549.47,Other,10.57,36,2,33273.16,12023.26,1,0.36135010921715877,0.8936759819199656
64,Female,Divorced,Bachelor's,32531.71,Employed,0.058,695,20320.11,Car,14.47,36,1,30357.66,9125.08,0,0.3005857500215761,0.6246247123191495
61,Male,Single,Bachelor's,70877.08,Employed,0.055,683,16982.1,Other,14.67,36,6,64736.25,49351.4,0,0.7623456718608199,0.23959931757911018
35,Male,Widowed,Bachelor's,16202.99,Student,0.126,605,19134.39,Business,11.07,36,7,21742.39,18739.18,7,0.8618730507547698,1.1809172257712928
44,Male,Single,Other,69639.73,Employed,0.223,663,11785.66,Home,14.74,36,7,100763.74,26845.79,6,0.26642312006283214,0.16923758894527594
56,Female,Single,Master's,18112.8,Employed,0.339,718,22245.35,Other,11.24,60,4,15481.68,9722.73,5,0.6280151766474956,1.228156331434124
33,Female,Married,Master's,30139.12,Self-employed,0.137,656,11565.87,Debt consolidation,12.08,36,7,37336.92,11657.18,0,0.3122158978298157,0.383749425995185
33,Female,Single,Master's,19917.01,Unemployed,0.287,833,10198.52,Debt consolidation,9.07,36,7,27951.06,20219.19,0,0.7233782904834377,0.5120507546062386
26,Female,Single,Master's,22406.36,Employed,0.06,722,9634.73,Car,12.22,36,8,35641.53,9917.22,3,0.278248997728212,0.4299997857751103
30,Female,Married,Master's,32249.22,Employed,0.064,651,500.0,Debt consolidation,16.53,36,6,45605.9,19787.24,3,0.43387456447521044,0.015504250955526986
38,Male,Single,Master's,113481.49,Employed,0.023,746,35264.35,Car,9.26,60,6,139773.32,27953.1,1,0.199988810453955,0.3107497971695648
71,Male,Divorced,High School,42205.22,Employed,0.147,754,26210.26,Car,11.35,60,6,65395.69,36844.92,2,0.5634151119133386,0.6210193904924556
69,Female,Married,Master's,28559.06,Self-employed,0.369,768,500.0,Home,10.84,36,3,27772.56,13467.44,2,0.4849189271712798,0.017507579030962502
22,Male,Married,Other,86710.34,Employed,0.188,760,17050.76,Debt consolidation,12.68,36,7,59871.1,52809.82,4,0.8820586226075686,0.1966404468025382
66,Female,Single,Master's,26897.42,Self-employed,0.174,570,27777.81,Education,12.2,60,4,22864.63,8057.04,2,0.35238007350217343,1.0327313920814711
47,Male,Single,Bachelor's,18753.8,Employed,0.037,814,8154.9,Other,5.56,60,4,26027.48,13192.18,1,0.5068558308372536,0.43483987245251626
40,Female,Married,High School,56222.78,Employed,0.137,764,26506.25,Debt consolidation,12.22,36,3,71772.32,57393.69,0,0.7996632963794398,0.47145036229087217
38,Female,Married,High School,27361.79,Employed,0.096,609,7100.39,Debt consolidation,14.12,36,6,38894.18,4032.09,3,0.1036682094853266,0.25950020082750436
26,Male,Divorced,High School,22303.11,Unemployed,0.083,684,2503.39,Debt consolidation,14.78,60,4,29544.5,21720.95,3,0.7351943678180373,0.11224398749770771
32,Male,Single,High School,77599.98,Unemployed,0.217,745,11006.86,Education,11.5,36,6,56863.44,18740.29,3,0.32956658971036573,0.14184101593840617
60,Male,Single,Master's,18262.69,Self-employed,0.049,696,14476.02,Debt consolidation,10.32,36,5,27384.19,12274.28,1,0.44822505248466366,0.7926554083763127
67,Female,Divorced,Master's,44973.63,Employed,0.149,650,11854.45,Car,14.26,36,7,57881.32,27452.44,0,0.4742884232771471,0.26358668401905744
29,Female,Single,High School,37229.94,Employed,0.04,689,28535.55,Debt consolidation,11.22,36,5,26824.45,18541.42,2,0.691213426556742,0.7664677944686453
65,Female,Single,High School,20976.81,Employed,0.242,666,18746.55,Debt consolidation,8.15,36,3,21078.24,12280.53,1,0.5826164803133468,0.8936797349072618
48,Male,Single,Other,34931.46,Employed,0.372,850,32901.73,Car,5.49,36,4,43587.48,36910.84,2,0.8468220690895641,0.9418939259910695
34,Male,Single,High School,24958.67,Employed,0.143,715,14246.9,Car,9.42,60,4,25281.83,20582.12,0,0.814107206638127,0.5708196790934774
33,Female,Married,High School,99985.04,Employed,0.117,665,500.0,Business,15.76,60,7,143485.19,133556.64,1,0.9308043568817103,0.005000748111917543
69,Female,Married,Other,24359.36,Self-employed,0.19,690,27454.74,Debt consolidation,11.77,36,2,17446.89,2784.59,3,0.15960380331394308,1.1270714829946271
28,Male,Married,Master's,53082.91,Employed,0.081,650,30269.32,Debt consolidation,12.78,36,5,48380.69,4642.14,0,0.09595026445468223,0.570227216254723
28,Female,Single,High School,107239.76,Self-employed,0.168,648,27743.57,Debt consolidation,17.05,36,3,131795.37,19681.15,1,0.14933111838450774,0.25870600605596283
45,Female,Single,High School,21161.07,Employed,0.137,724,29734.57,Car,8.49,36,7,26950.37,5876.6,1,0.21805266495413608,1.4051543707383416
30,Male,Married,Bachelor's,27655.4,Employed,0.216,757,18414.71,Debt consolidation,7.12,36,2,34573.41,15438.02,2,0.44652870515231213,0.6658630864135032
34,Female,Married,High School,36966.19,Employed,0.124,733,7875.2,Vacation,13.73,36,5,43679.64,2717.11,0,0.06220541194936589,0.21303791383423606
41,Male,Married,Bachelor's,53124.37,Employed,0.206,684,16349.4,Home,11.26,60,2,72581.06,53125.1,5,0.7319416387691224,0.3077570614013869
73,Male,Married,PhD,14213.1,Employed,0.14,750,16064.48,Business,8.97,60,4,24431.62,17192.35,4,0.7036925918133959,1.1302587049975021
32,Male,Single,High School,18649.67,Employed,0.237,673,25030.94,Home,12.0,36,7,22617.38,15687.82,4,0.6936179168409426,1.342165303729235
43,Male,Married,PhD,21818.91,Employed,0.281,795,9529.82,Business,9.53,60,1,29483.65,12487.59,2,0.4235428788498032,0.43676883950664813
48,Female,Married,Bachelor's,36481.44,Employed,0.171,753,21343.14,Medical,13.75,36,4,39140.1,2463.54,2,0.06294158676140327,0.5850410510111442
59,Female,Married,Master's,45535.35,Self-employed,0.14,663,10323.12,Debt consolidation,15.56,36,8,35793.05,31825.83,2,0.8891622815043703,0.22670562540970918
48,Male,Married,Master's,36713.78,Employed,0.036,706,15654.77,Other,11.08,36,3,33263.1,7791.53,0,0.2342394425053588,0.42640038699365745
71,Female,Single,PhD,51935.4,Student,0.179,804,10817.89,Car,14.33,36,6,45347.3,21742.75,2,0.47947176568395466,0.20829511277471627
73,Other,Single,Other,22477.37,Self-employed,0.326,731,3374.39,Car,10.92,36,5,31180.61,12636.29,3,0.4052611542878732,0.150123880151459
29,Female,Married,Other,39230.93,Employed,0.203,608,20596.13,Car,11.1,36,4,46834.21,22575.61,2,0.48203247156298784,0.5249972406975822
38,Female,Married,Master's,73647.84,Employed,0.122,675,17769.7,Debt consolidation,9.77,36,4,44340.72,29239.76,2,0.6594335861032478,0.2412793097530084
50,Male,Single,Master's,36528.6,Self-employed,0.135,620,500.0,Other,12.57,36,4,30836.67,26310.77,1,0.8532299369549307,0.013687904819785046
53,Male,Single,Master's,37114.14,Employed,0.174,653,3533.0,Debt consolidation,14.45,36,7,28476.78,10725.82,1,0.37665143320277084,0.0951928294714629
24,Other,Married,High School,19955.34,Employed,0.141,719,23220.01,Debt consolidation,9.83,36,11,27431.05,20919.99,0,0.7626390531897249,1.1635988161564774
43,Female,Single,PhD,57990.99,Employed,0.13,649,6215.85,Debt consolidation,13.81,60,5,34396.83,30503.02,1,0.886797417087563,0.10718647845122148
58,Other,Single,Master's,80681.2,Self-employed,0.124,723,14614.48,Education,7.13,36,5,125656.64,69520.49,2,0.5532575914810391,0.18113860478029578
60,Female,Single,Bachelor's,16624.56,Employed,0.466,749,500.0,Debt consolidation,10.16,36,4,27027.79,10696.01,1,0.3957411982259741,0.030075983965891426
73,Female,Married,Bachelor's,23265.18,Unemployed,0.097,672,15363.1,Home,12.8,36,3,28563.25,4747.24,0,0.16620097502910208,0.6603473517075733
65,Female,Single,Bachelor's,28723.5,Employed,0.099,739,9012.72,Debt consolidation,10.55,36,7,27828.44,4803.57,0,0.17261370022897438,0.3137751318606716
47,Female,Married,Bachelor's,61149.44,Employed,0.176,731,5770.15,Debt consolidation,11.1,36,3,62927.83,46666.84,3,0.7415930280767666,0.0943614528604023
61,Male,Single,Bachelor's,28589.73,Employed,0.018,708,36881.15,Debt consolidation,12.43,60,3,42437.12,24173.61,1,0.5696336132140918,1.290013931576129
24,Female,Married,Bachelor's,32455.27,Employed,0.129,553,24029.79,Debt consolidation,14.32,36,3,39728.54,21414.91,1,0.5390308830880772,0.7403971681640609
51,Female,Single,High School,127907.25,Self-employed,0.064,639,17920.66,Education,11.52,60,4,154689.35,48945.55,1,0.3164118926092844,0.14010667886300424
65,Female,Single,Other,94033.56,Employed,0.066,669,15610.45,Debt consolidation,12.8,60,8,88590.55,20265.31,1,0.22875250238315487,0.1660093481518726
27,Female,Single,High School,38213.14,Self-employed,0.116,619,15883.58,Debt consolidation,12.16,60,6,56560.65,8435.84,0,0.14914680082354076,0.41565754606923166
57,Male,Single,High School,17699.0,Employed,0.06,652,18503.98,Other,11.94,36,2,11772.21,5973.47,2,0.5074212913293257,1.0454816656308266
29,Female,Single,High School,20446.44,Self-employed,0.133,840,764.75,Debt consolidation,11.31,36,2,17732.16,12208.65,1,0.6885032618699582,0.03740259918107994
72,Male,Married,High School,14470.16,Self-employed,0.214,649,500.0,Debt consolidation,13.29,36,5,26351.51,4532.76,3,0.17201139517242087,0.034553868098210386
75,Male,Single,Master's,24261.58,Employed,0.406,642,18340.26,Education,12.17,36,6,38204.09,20437.76,3,0.5349626178767771,0.7559384013736944
36,Male,Widowed,High School,54449.6,Retired,0.167,638,10485.97,Debt consolidation,12.73,36,4,72792.93,22378.64,2,0.30742875716089463,0.1925812127178161
50,Male,Single,Bachelor's,50527.75,Employed,0.113,674,500.0,Vacation,14.72,60,4,57208.25,45771.1,1,0.8000786599834814,0.009895552443954065
34,Male,Married,Bachelor's,33056.81,Employed,0.141,592,23666.59,Other,17.3,36,5,21769.84,15253.14,2,0.7006546671909394,0.7159368977224361
57,Female,Single,Bachelor's,21920.07,Employed,0.243,609,18867.45,Debt consolidation,12.07,36,5,31052.45,17038.56,2,0.5487025983457022,0.8607385834078085
26,Male,Single,PhD,87612.98,Employed,0.277,569,21181.77,Debt consolidation,10.64,36,7,76648.34,28367.26,2,0.37009620821533773,0.2417652041969124
22,Female,Married,High School,65080.84,Employed,0.149,683,25121.69,Business,10.5,60,5,59146.99,51389.14,1,0.8688377887023498,0.38600746394791463
53,Male,Single,Bachelor's,62301.96,Self-employed,0.077,754,22588.54,Other,14.37,36,3,36604.31,2224.63,1,0.060775083589883275,0.3625654794809024
35,Male,Married,Bachelor's,38888.44,Unemployed,0.185,634,31607.65,Medical,13.6,36,6,54580.58,18281.23,3,0.3349401930137056,0.8127775246319986
71,Female,Single,Bachelor's,40770.04,Unemployed,0.223,503,29726.95,Medical,17.09,36,5,60561.45,38034.74,3,0.6280354912242029,0.729137131089398
55,Female,Widowed,Bachelor's,78828.5,Employed,0.081,737,26934.59,Education,13.15,36,4,49398.82,46851.41,0,0.9484317641595488,0.3416859384613433
22,Male,Single,Master's,42514.55,Self-employed,0.054,727,3660.67,Car,14.04,36,7,36299.43,24076.15,0,0.6632652358453012,0.08610393382971242
26,Female,Married,High School,270018.5,Employed,0.357,787,18847.91,Vacation,9.65,36,7,387067.74,306562.64,3,0.7920128915936007,0.06980229132448332
66,Female,Single,Bachelor's,29826.92,Employed,0.28,650,500.0,Business,14.5,36,7,25380.72,22795.82,3,0.8981549774789682,0.01676338019480389
71,Female,Divorced,PhD,22575.66,Employed,0.318,619,7435.64,Other,13.35,36,5,28055.89,18637.42,3,0.6642961602715152,0.32936534302873094
40,Male,Married,Master's,42607.7,Employed,0.015,790,16040.98,Debt consolidation,9.4,36,6,43946.46,40600.75,2,0.9238684981679981,0.37648077694876747
62,Female,Married,Bachelor's,54587.43,Employed,0.099,711,6002.62,Car,12.36,36,2,43419.3,26690.88,1,0.6147238670360876,0.10996341099040566
23,Male,Single,High School,54523.25,Employed,0.222,677,500.0,Home,12.77,36,5,82727.47,55732.14,3,0.6736836023149263,0.009170399783578566
67,Male,Married,High School,12559.99,Retired,0.093,740,17979.54,Debt consolidation,8.12,36,8,25033.65,5957.74,0,0.23798926644736182,1.4314931779404283
67,Male,Single,Bachelor's,35240.85,Employed,0.177,632,26227.34,Other,12.7,36,5,52741.72,13928.64,3,0.26409150099769213,0.744231197601647
52,Female,Divorced,Master's,115021.71,Employed,0.1,687,20947.54,Home,11.39,36,3,94225.9,61586.43,2,0.6536040515399694,0.18211814100138138
42,Male,Single,Bachelor's,65785.77,Employed,0.128,689,500.0,Education,11.73,36,3,36248.33,19546.03,2,0.5392256691549652,0.007600427873687577
38,Female,Married,Bachelor's,47429.29,Self-employed,0.394,717,19920.39,Car,10.34,36,7,53038.56,38504.62,1,0.7259740837609469,0.42000185961038
